Scheduler,Round,Throughput_Mbps,Avg_Delay_ms,Jitter_ms,Packet_Loss_%,Packets_Sent,Packets_Received
default,1,8.955753209000001,466.163,0.896,0.0,131726,131726
default,2,27.20436671,398.541,0.287,0.0,401593,401593
default,3,24.531489152,322.604,0.319,0.0,362562,362562
default,4,30.176165661,471.226,0.257,0.0,447577,447577
default,5,30.033133655,477.328,0.259,0.0,444677,444677
default,6,30.113507576,474.945,0.258,0.0,445736,445736
default,7,29.209849427,434.99199999999996,0.266,0.0,432447,432447
default,8,29.628403014,398.832,0.262,0.0,438522,438522
default,9,4.9527923650000005,783.278,1.624,0.0,73476,73476
default,10,30.126943236,496.014,0.258,0.0,446919,446919
default,11,20.413219467999998,401.155,0.38699999999999996,0.0,301357,301357
default,12,4.99204776,825.9739999999999,1.611,0.0,74137,74137
default,13,13.850530085,307.373,0.575,0.0,203859,203859
default,14,30.13730038,447.455,0.258,0.0,446368,446368
default,15,30.010630047,444.074,0.259,0.0,443038,443038
default,16,10.007611074,751.499,0.796,0.0,148925,148925
default,17,30.133900226,546.554,0.259,0.0,446222,446222
default,18,30.098068752,492.46099999999996,0.258,0.0,446082,446082
default,19,4.942392879,1110.885,1.6260000000000001,0.0,73538,73538
default,20,4.879063079,864.097,1.65,0.0,72602,72602
default,21,29.913308702,426.774,0.25999999999999995,0.0,442425,442425
default,22,30.173853722,433.40299999999996,0.258,0.0,445145,445145
roundrobin,1,27.151795954,435.595,0.289,0.0,401517,401517
roundrobin,2,14.376500178,425.779,0.555,0.0,211307,211307
roundrobin,3,12.601099578,416.69800000000004,0.633,0.0,185829,185829
roundrobin,4,24.772226602,466.486,0.317,0.0,366630,366630
roundrobin,5,17.624950029,343.291,0.449,0.0,260242,260242
roundrobin,6,7.0049391960000005,664.455,1.143,0.0,104305,104305
roundrobin,7,22.495207856,364.194,0.35,0.001200494603776756,333192,333192
roundrobin,8,11.593082402,388.456,0.683,0.0,172729,172729
roundrobin,9,20.548358717,347.043,0.383,0.001981126468509995,302852,302852
roundrobin,10,28.030880295,457.507,0.27799999999999997,0.0,415380,415380
roundrobin,11,21.155456902999997,395.526,0.373,0.0,312108,312108
roundrobin,12,20.634718003000003,364.596,0.382,0.0,304294,304294
roundrobin,13,28.789698906,470.579,0.27099999999999996,0.0,425389,425389
roundrobin,14,20.410121662,317.26300000000003,0.386,0.0,300649,300649
roundrobin,15,23.489293734,379.97700000000003,0.33399999999999996,0.0,347287,347287
roundrobin,16,19.223650805000002,337.613,0.41100000000000003,0.0,283463,283463
roundrobin,17,25.485548315,438.545,0.308,0.0,377369,377369
roundrobin,18,20.80540016,448.364,0.379,0.0,307313,307313
roundrobin,19,24.783547363,423.94100000000003,0.317,0.0,365795,365795
roundrobin,20,10.127298756,749.881,0.791,0.0,149941,149941
roundrobin,21,24.604577022,393.07599999999996,0.319,0.0,364382,364382
roundrobin,22,26.306705701,462.278,0.298,0.0015398039316327054,389654,389654
blest,1,29.074372490000002,462.508,0.268,0.0,430630,430630
blest,2,30.163932413999998,551.8929999999999,0.258,0.00022405398804896027,446320,446320
blest,3,30.082023928999998,463.863,0.258,0.0,445287,445287
blest,4,30.125095103,500.644,0.258,0.0,445363,445363
blest,5,29.848099378,456.71299999999997,0.25999999999999995,0.0,442713,442713
blest,6,10.091953682,437.32500000000005,0.795,0.0,148352,148352
blest,7,30.178852245999998,479.34900000000005,0.257,0.0,447536,447536
blest,8,30.106552619,486.979,0.258,0.0,445240,445240
blest,9,30.16172404,466.307,0.258,0.0,445633,445633
blest,10,30.145565556,498.44,0.258,0.0,445310,445310
blest,11,30.112888295,571.7370000000001,0.258,0.0,446069,446069
blest,12,30.137738239999997,492.947,0.258,0.00044939578736388926,445040,445040
blest,13,30.0730938,575.7339999999999,0.258,0.0,445053,445053
blest,14,27.999046827999997,477.037,0.279,0.0,412564,412564
blest,15,30.181890382000002,499.504,0.257,0.0,447421,447421
blest,16,30.153629686,577.323,0.258,0.0,446170,446170
blest,17,29.65664711,524.466,0.262,0.0,438086,438086
blest,18,30.132156083,515.85,0.257,0.0,445761,445761
blest,19,30.158659577999998,578.977,0.257,0.0,446678,446678
blest,20,30.102089203,465.052,0.258,0.0,444446,444446
blest,21,30.144781030999997,505.26800000000003,0.258,0.0,445577,445577
blest,22,30.151862316,572.336,0.258,0.0,447210,447210
ecf,1,28.203494657,379.79400000000004,0.27599999999999997,0.00023949743857489445,417540,417540
ecf,2,6.253691086,592.821,1.2910000000000001,0.0,91906,91906
ecf,3,28.392736237,462.252,0.27399999999999997,0.0,420016,420016
ecf,4,16.038578683,887.302,0.484,0.0,241686,241686
ecf,5,30.123767492,519.971,0.258,0.0,445209,445209
ecf,6,15.015770586,391.90000000000003,0.53,0.0,220932,220932
ecf,7,5.194451222,858.798,1.557,0.0,76370,76370
ecf,8,4.953323544,699.736,1.627,0.0,73311,73311
ecf,9,30.178049401,584.611,0.258,0.0,446599,446599
ecf,10,30.129399958999997,506.4,0.258,0.0,446118,446118
ecf,11,5.425326228,802.3860000000001,1.484,0.0,80551,80551
ecf,12,30.157307616999997,513.3760000000001,0.258,0.0,445474,445474
ecf,13,29.675777379,483.76000000000005,0.262,0.0,437672,437672
ecf,14,30.14505403,507.957,0.258,0.0,445243,445243
ecf,15,27.486316279,480.117,0.283,0.0,406627,406627
ecf,16,28.841819309999998,465.737,0.27,0.0,426388,426388
ecf,17,5.12861471,821.1659999999999,1.57,0.0,75983,75983
ecf,18,29.618646998,461.49899999999997,0.263,0.0,438262,438262
ecf,19,4.9058825839999995,661.5649999999999,1.645,0.001378606779988144,72536,72536
ecf,20,26.447344603,465.976,0.29500000000000004,0.0012821959400547754,389951,389951
ecf,21,30.11558262,586.067,0.258,0.0,446858,446858
ecf,22,29.065274323,405.703,0.268,0.0,429461,429461
