time,subflow,segs_out,rtt_us,snd_cwnd,unacked,total_retrans,dst_addr,rcv_ooopack,snd_wnd
1.0065395832061768,0,20,2864,10,0,0,1798875328,0,129664
1.0065395832061768,1,22,4211,10,0,0,1798875328,0,129664
2.0141959190368652,0,38,4622,10,0,0,1798875328,0,129664
2.0141959190368652,1,40,5211,10,0,0,1798875328,0,129664
3.023442029953003,0,56,4909,10,0,0,1798875328,0,129664
3.023442029953003,1,58,5722,10,0,0,1798875328,0,129664
4.03925347328186,0,74,5261,10,0,0,1798875328,0,129664
4.03925347328186,1,76,5805,10,0,0,1798875328,0,129664
5.061282396316528,0,92,5340,10,0,0,1798875328,0,129664
5.061282396316528,1,94,6387,10,0,0,1798875328,0,129664
6.094294548034668,0,110,5703,10,0,0,1798875328,0,129664
6.094294548034668,1,112,6895,10,0,0,1798875328,0,129664
7.120932579040527,0,128,6012,10,0,0,1798875328,0,129664
7.120932579040527,1,130,6620,10,0,0,1798875328,0,129664
8.149008512496948,0,146,5656,10,0,0,1798875328,0,129664
8.149008512496948,1,148,6591,10,0,0,1798875328,0,129664
9.167963981628418,0,164,5325,10,0,0,1798875328,0,129664
9.167963981628418,1,166,6663,10,0,0,1798875328,0,129664
10.191173791885376,0,182,5407,10,0,0,1798875328,0,129664
10.191173791885376,1,184,6920,10,0,0,1798875328,0,129664
11.238598823547363,0,200,5966,10,0,0,1798875328,0,129664
11.238598823547363,1,202,8543,10,0,0,1798875328,0,129664
12.249134540557861,0,218,5353,10,0,0,1798875328,0,129664
12.249134540557861,1,220,6768,10,0,0,1798875328,0,129664
13.271724939346313,0,236,5409,10,0,0,1798875328,0,129664
13.271724939346313,1,238,6752,10,0,0,1798875328,0,129664
14.287241220474243,0,254,5517,10,0,0,1798875328,0,129664
14.287241220474243,1,256,6190,10,0,0,1798875328,0,129664
15.295290470123291,0,272,4947,10,0,0,1798875328,0,158336
15.295290470123291,1,274,6221,10,0,0,1798875328,0,160384
16.310206413269043,0,290,5403,10,0,0,1798875328,0,195200
16.310206413269043,1,292,6220,10,0,0,1798875328,0,197248
17.332826614379883,0,308,5785,10,0,0,1798875328,0,232064
17.332826614379883,1,310,6364,10,0,0,1798875328,0,234112
18.37213945388794,0,326,5672,10,0,0,1798875328,0,268928
18.37213945388794,1,328,8704,10,0,0,1798875328,0,270976
19.41106390953064,0,344,6680,10,0,0,1798875328,0,305792
19.41106390953064,1,346,7276,10,0,0,1798875328,0,307840
20.416985988616943,0,362,6331,10,0,0,1798875328,0,342656
20.416985988616943,1,364,6182,10,0,0,1798875328,0,344704
21.469367742538452,0,381,5094,10,0,0,1798875328,0,383616
21.469367742538452,1,383,5512,10,0,0,1798875328,0,381568
22.482827186584473,0,399,5322,10,0,0,1798875328,0,420480
22.482827186584473,1,401,6080,10,0,0,1798875328,0,418432
23.49312996864319,0,417,5158,10,0,0,1798875328,0,457344
23.49312996864319,1,419,6102,10,0,0,1798875328,0,455296
24.51205563545227,0,435,5887,10,0,0,1798875328,0,494208
24.51205563545227,1,437,6351,10,0,0,1798875328,0,492160
25.52992057800293,0,453,5429,10,0,0,1798875328,0,531072
25.52992057800293,1,455,6245,10,0,0,1798875328,0,529024
26.547142028808594,0,471,5249,10,0,0,1798875328,0,567936
26.547142028808594,1,473,6354,10,0,0,1798875328,0,565888
27.57368302345276,0,489,5445,10,0,0,1798875328,0,604800
27.57368302345276,1,491,7406,10,0,0,1798875328,0,602752
28.593883991241455,0,507,5220,10,0,0,1798875328,0,641664
28.593883991241455,1,509,6788,10,0,0,1798875328,0,639616
29.613096714019775,0,525,5596,10,0,0,1798875328,0,678528
29.613096714019775,1,527,6658,10,0,0,1798875328,0,676480
