Scheduler,Round,Throughput_Mbps,Avg_Delay_ms,Jitter_ms,Packet_Loss_%,Packets_Sent,Packets_Received,Total_Bytes_MB
default,1,2.790531258,52.803000000000004,1.611,0.0,17441,17441,0.0
default,2,2.7989957760000004,52.79,1.607,0.0,17494,17494,0.0
default,3,2.787603611,52.865,1.689,0.0,33,33,0.0
roundrobin,1,2.78838039,69.589,1.951,0.0,17445,17445,0.0
roundrobin,2,2.788597729,69.604,1.95,0.0,17440,17440,0.0
roundrobin,3,2.787438485,69.56,1.9559999999999997,0.0,17439,17439,0.0
blest,1,2.769028068,52.837,1.621,0.0,17307,17307,0.0
blest,2,2.771952738,52.833999999999996,1.6199999999999999,0.0,17325,17325,0.0
blest,3,2.77710542,52.827,1.616,0.0,17357,17357,0.0
ecf,1,2.776097815,52.826,1.617,0.0,17351,17351,0.0
ecf,2,2.775517224,52.828,1.617,0.0,17347,17347,0.0
ecf,3,2.771894114,52.831,1.621,0.0,17325,17325,0.0
