Scheduler,File,AvgChunks,AvgDelay(ms),AvgGoodput(KB/s),AvgDownloadTime(s)
default,512mb.dat,513.0,2940.2891526832605,2694.5925326092956,194.95054372151694
roundrobin,512mb.dat,513.0,2942.2907503957176,2692.916860651296,195.07181326548258
blest,512mb.dat,513.0,2932.5531969758267,2690.6118276085745,195.23899547259012
ecf,512mb.dat,513.0,2931.6534023148583,2695.0208839507286,194.91952617963156
