Scheduler,File,AvgChunks,AvgDelay(ms),AvgGoodput(KB/s),AvgDownloadTime(s)
default,8mb.dat,43691.0,460.4703537067573,3646.2239802017375,2.3408811887105307
roundrobin,8mb.dat,43691.0,413.5242318691965,3761.9631875145656,2.2712086041768393
blest,8mb.dat,43691.0,391.2948694439618,3845.520123194309,2.219584306081136
ecf,8mb.dat,43691.0,466.4534483516686,3587.713075664135,2.378584941228231
