Scheduler,File,AvgChunks,AvgDelay(ms),AvgGoodput(KB/s),AvgDownloadTime(s)
default,8mb.dat,43691.0,23.959536007937064,634.4134444892571,13.450854698816935
roundrobin,8mb.dat,43691.0,23.767537591487798,635.6350473203833,13.425032695134481
blest,8mb.dat,43691.0,22.622885564015792,631.7134481401753,13.508583466211954
ecf,8mb.dat,43691.0,23.171803969325854,634.3392725025948,13.452430884043375
