Scheduler,File,AvgChunks,AvgDelay(ms),AvgGoodput(Mbps),AvgDownloadTime(s)
default,8mb.dat,4212.0,422.08416809496833,19.822856597931793,3.242258866628011
roundrobin,8mb.dat,4212.0,389.13749254138537,19.89330503547617,3.230769395828247
blest,8mb.dat,4212.0,443.93351001428556,19.274686234418198,3.33450984954834
ecf,8mb.dat,4212.0,393.8579445928288,19.922312932067076,3.226037343343099
