Scheduler,Round,Throughput_Mbps,Avg_Delay_ms,Jitter_ms,Packet_Loss_%,Packets_Sent,Packets_Received
default,1,30.589374359,3086.055,0.23800000000000002,0.0,164748,164748
default,2,27.962573466000002,324.394,0.27599999999999997,0.0,138917,138917
default,3,5.486732679,617.178,1.449,0.0,27780,27780
roundrobin,1,4.3224153560000005,931.1700000000001,1.82,0.0,22341,22341
roundrobin,2,19.936528202,350.74,0.39399999999999996,0.0,98542,98542
roundrobin,3,17.612123117,281.53499999999997,0.442,0.0,88055,88055
blest,1,13.978252550999999,308.926,0.565,0.0,69252,69252
blest,2,5.323737499,386.396,1.506,0.0,26545,26545
blest,3,25.203682923,221.632,0.308,0.0,124253,124253
ecf,1,22.523059257,280.165,0.347,0.0,111559,111559
ecf,2,30.198428543000002,319.68600000000004,0.256,0.0,149941,149941
ecf,3,5.400755699,407.363,1.4829999999999999,0.0,26827,26827
