Scheduler,Avg_Throughput_Mbps,Avg_Delay_ms,Avg_Jitter_ms,Avg_Packet_Loss_%,Avg_Transfer_MB,Completed_Rounds
default,21.91352076433333,3909.3546666666666,8.822333333333333,0.0,0.0,3
roundrobin,22.094834703666663,3736.243,8.644333333333334,0.0,0.0,3
blest,21.377401435,3907.236666666667,9.280333333333333,0.0,0.0,3
ecf,21.909444829333335,3913.513666666667,8.785000000000002,0.0,0.0,3
