time,throughput_mbps,latency_max,segment_loss_rate_weighted
2.053248167037964,0.44384,13300.400000000001,0.0
3.106854200363159,0.44384,12882.771186440677,0.0
4.153690814971924,0.44384,18033.358974358973,0.0
5.2064268589019775,0.44384,16107.03092783505,0.0
6.2181291580200195,0.42048,17797.93043478261,0.0
7.2605977058410645,0.44384,20627.287313432833,0.0
8.27534031867981,0.42048,25284.848684210527,0.0
9.317521572113037,0.44384,22568.730994152043,0.0
10.36790156364441,0.44384,25379.992105263154,0.0
11.416064500808716,0.44384,23468.0,0.0
12.470207691192627,0.44384,28221.684210526313,0.0
13.510787963867188,0.44384,24794.445344129555,0.0
14.565049409866333,0.44384,26703.977443609023,0.0
15.566060066223145,0.42047999999999996,26895.12852112676,0.0
16.611518144607544,0.44384,26689.966996699666,0.0
17.651355743408203,0.44384,26410.14906832298,0.0
18.700608491897583,0.44384,26303.27712609971,0.0
19.756913900375366,0.44384,26246.608333333337,0.0
20.797356128692627,0.44384,26352.54353562005,0.0
21.837928533554077,0.44384,26559.42713567839,0.0
22.871680736541748,0.44384,26059.06954436451,0.0
23.91688084602356,0.44384,25995.20183486239,0.0
24.962767362594604,0.44384,26302.46153846154,0.0
26.008857011795044,0.44384,26221.443037974685,0.0
27.061979055404663,0.44384,26249.248478701826,0.0
28.109562397003174,0.44384,26497.10546875,0.0
29.162453651428223,0.44384,26340.00376647834,0.0
