Scheduler,Avg_Throughput_Mbps,Avg_Delay_ms,Avg_Jitter_ms,Avg_Packet_Loss_%,Completed_Rounds
default,20.157579995333332,266.69066666666663,0.41766666666666663,0.00019507437210436481,3
roundrobin,16.173867526,242.275,0.6076666666666667,0.0005899108391903053,3
blest,16.904105594,184.37233333333333,0.48500000000000004,0.0,3
ecf,19.98461307133333,215.62133333333335,0.447,0.0,3
