Scheduler,Round,Throughput_Mbps,Avg_Delay_ms,Jitter_ms,Packet_Loss_%,Packets_Sent,Packets_Received,Total_Bytes_MB
default,1,7.263017758,52.507,0.7020000000000001,0.0,17732,17732,0.0
default,2,7.254827582,52.519000000000005,0.703,0.0,17712,17712,0.0
default,3,7.230127612,52.659,0.71,0.0,17652,17652,0.0
roundrobin,1,7.243365816000001,70.464,1.425,0.0,17702,17702,0.0
roundrobin,2,7.251217086,70.58300000000001,1.418,0.0,17721,17721,0.0
roundrobin,3,7.2324145490000005,70.591,1.417,0.0,17673,17673,0.0
blest,1,7.260175972,72.86099999999999,0.7010000000000001,0.0,17725,17725,0.0
blest,2,7.265072656999999,52.623999999999995,0.699,0.0,17737,17737,0.0
blest,3,7.264670195,72.34,0.695,0.0,17737,17737,0.0
ecf,1,7.2454472370000005,52.738,0.708,0.0,17690,17690,0.0
ecf,2,7.235972977,52.519000000000005,0.707,0.0,17666,17666,0.0
ecf,3,7.161176801,73.274,0.7200000000000001,0.0,17483,17483,0.0
